Company,Country,Industry,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Label
Largan Precision,Taiwan,Optics,1.455,0.674,0.984,0.858,1.061,1.284,1.141,-0.2,Legit
Telecard 2010,Pakistan,Telecommunications,2.087,2.016,1.364,2.242,0.869,0.901,0.989,0.4615,Fraud
ICI Pakistan,Pakistan,Chemicals,1.47,0.92,1.544,1.392,0.3,1.314,1.12,-0.1082,Legit
Fannie Mae,USA,Financial Services,1.257,1.639,1.225,1.361,0.59,0.568,1.57,0.0646,Fraud
Computer Associates,USA,Software,1.292,1.225,1.206,2.07,1.282,1.409,1.218,0.0734,Fraud
Recruit Holdings,Japan,HR Technology,1.662,0.743,0.933,1.058,1.688,0.69,0.656,-0.1356,Legit
TotalEnergies,France,Oil & Gas,0.662,1.05,1.052,2.021,0.814,0.754,0.971,-0.0144,Legit
IL&FS Financial Services,India,Financial Services,1.458,1.66,1.457,1.681,0.954,0.979,1.54,0.3486,Fraud
Perpetual Energy,Canada,Oil & Gas,2.231,0.755,2.141,1.987,1.296,1.269,0.923,-0.024,Fraud
Daikin Industries,Japan,Industrial,0.942,1.519,0.868,1.93,0.761,1.176,0.973,-0.2,Legit
Xcite Energy,UK,Oil & Gas,1.066,1.045,1.802,2.15,1.464,0.892,1.332,0.3755,Fraud
Tencent Holdings,China,Technology,1.481,0.3,1.765,1.153,0.833,1.302,1.417,-0.2,Legit
Accolade Inc,USA,Healthcare,0.745,1.431,0.998,0.664,1.246,0.3,0.796,0.0517,Legit
Norse Atlantic,Norway,Aviation,1.662,1.998,1.973,2.009,1.339,1.594,2.073,0.304,Fraud
Humana Inc,USA,Healthcare Insurance,1.266,1.205,0.669,1.253,0.928,1.309,1.413,-0.0921,Legit
BRF SA,Brazil,Food & Beverages,1.092,1.259,1.867,1.368,0.779,1.057,1.445,0.0625,Fraud
Shenandoah Telecom,USA,Telecommunications,0.746,1.296,0.537,1.042,1.152,0.385,0.459,0.2093,Legit
Datadog Inc,USA,Software,0.827,0.961,0.648,1.047,0.765,0.471,1.161,-0.2,Legit
Jabong fraud,India,E-commerce,1.938,1.479,1.527,1.939,1.262,1.417,0.937,0.1924,Fraud
Medtronic,USA,Medical Devices,1.123,0.907,0.708,1.214,1.371,1.212,1.071,0.2315,Legit
Partners Group,Switzerland,Financial Services,0.516,1.505,0.696,1.3,1.251,0.626,0.755,-0.0153,Legit
Clorox Company,USA,Consumer Goods,1.487,0.959,0.987,1.489,1.013,1.163,1.08,-0.2,Legit
BlackRock,USA,Financial Services,0.887,1.28,1.089,1.387,0.932,0.939,1.473,-0.1486,Legit
Amazon 2019,USA,E-commerce,1.01,0.3,0.528,2.06,1.005,1.129,0.915,0.0872,Legit
Systems Ltd 2021,Pakistan,IT Services,1.167,0.609,1.634,0.815,0.783,1.192,0.944,0.0016,Legit
China Yida Holding,China,Tourism,1.777,1.597,1.395,2.364,1.515,0.894,1.787,0.5,Fraud
Fortinet,USA,Cybersecurity,1.988,0.489,0.672,0.59,0.862,0.984,0.48,-0.2,Legit
Colgate-Palmolive,USA,Consumer Goods,1.269,1.198,0.363,1.006,1.193,0.707,1.157,-0.2,Legit
Starbucks Corporation,USA,Food & Beverages,1.595,0.648,1.337,1.54,0.968,1.12,1.01,0.1666,Legit
Shopify 2019,Canada,E-commerce,0.852,0.599,1.709,1.67,1.478,0.473,1.161,0.1557,Legit
Olympus 2010,Japan,Electronics,1.939,1.851,1.409,1.612,0.717,1.234,1.434,0.129,Fraud
TSMC 2019,Taiwan,Semiconductors,1.061,1.114,1.116,1.67,0.721,0.3,1.289,-0.2,Legit
Yuhe International,China,Food & Beverages,1.78,1.504,1.582,1.698,1.295,1.169,1.07,0.1109,Fraud
Cogeco Inc,Canada,Telecommunications,1.137,0.589,1.38,1.722,1.544,1.075,0.845,0.453,Legit
Michelin Group,France,Automotive,1.233,0.868,0.948,1.041,0.933,0.59,1.068,-0.2,Legit
BBVA,Spain,Banking,1.436,0.743,1.538,0.74,0.791,0.539,0.83,-0.2,Legit
Ferrovial,Spain,Construction,1.205,1.583,0.702,1.066,1.132,0.64,0.786,-0.0421,Legit
Lehman Brothers,USA,Financial Services,1.418,1.131,1.452,1.083,0.564,0.909,1.916,0.2175,Fraud
Metso Corporation,Finland,Industrial,0.749,0.975,1.351,1.333,1.329,0.3,0.918,-0.1868,Legit
Adobe Inc,USA,Software,1.204,0.951,0.923,0.783,0.815,0.932,1.15,-0.2,Legit
NVIDIA Corporation,USA,Semiconductors,1.252,1.229,1.091,1.411,1.199,0.741,1.297,0.0172,Legit
DSV Panalpina,Denmark,Logistics,1.288,0.714,1.158,1.09,1.405,0.926,0.935,0.3715,Legit
Serba Dinamik 2021,Malaysia,Oil Services,1.681,1.395,1.517,2.088,1.077,1.235,0.612,0.1791,Fraud
Ecolab Inc,USA,Chemicals,1.404,1.524,1.281,1.042,1.224,0.76,1.397,0.3714,Legit
Silk Bank Pakistan,Pakistan,Banking,1.648,1.148,1.815,2.225,1.437,1.049,1.695,-0.0258,Fraud
Carillion 2017,UK,Construction,1.646,1.433,1.528,1.767,1.101,1.363,1.399,0.5,Fraud
Wockhardt Limited,India,Pharmaceuticals,1.616,1.826,1.483,2.48,1.198,1.206,1.172,-0.0134,Fraud
McDonald's Corporation,USA,Food & Beverages,0.453,1.007,0.926,1.18,0.642,1.237,0.949,-0.2,Legit
ImClone Systems,USA,Pharmaceuticals,1.054,1.837,0.953,1.52,1.33,1.231,1.11,0.0087,Fraud
Carillion,UK,Construction,1.311,0.713,1.518,1.677,1.277,1.445,1.497,0.1667,Fraud
Kaisa Group,China,Real Estate,1.866,1.199,1.383,2.535,1.728,1.273,1.365,-0.0288,Fraud
NetEase,China,Gaming,0.621,0.958,1.211,1.267,1.21,1.286,1.313,-0.1566,Legit
Toyota 2020,Japan,Automotive,0.877,0.943,1.366,1.442,0.975,1.174,1.561,-0.2,Legit
JPMorgan 2020,USA,Banking,1.152,1.555,1.457,1.635,0.755,0.886,1.18,-0.0643,Legit
Barrick Gold,Canada,Mining,1.366,1.371,1.243,1.196,1.109,0.827,0.755,-0.2,Legit
Raymond James,USA,Financial Services,1.042,0.904,1.11,1.076,0.541,1.027,0.837,0.1977,Legit
Sino-Forest 2011,Canada,Forestry,1.746,1.267,1.582,1.719,1.418,0.956,1.748,-0.1305,Fraud
iQIYI Inc,China,Media,1.715,1.344,2.001,2.301,1.071,1.152,1.461,-0.2,Fraud
Kohat Cement,Pakistan,Construction,0.872,0.825,0.878,1.017,0.849,0.666,1.181,0.2731,Legit
Agrana Beteiligungs,Austria,Food & Beverages,1.519,1.001,1.544,2.251,1.524,1.317,1.539,0.2358,Fraud
Amtek Auto,India,Automotive,2.292,0.997,1.495,2.378,0.975,1.348,1.379,-0.0653,Fraud
Oracle Corporation,USA,Software,0.481,1.039,1.206,0.87,1.311,1.093,0.787,-0.1381,Legit
ZZZZ Best,USA,Services,2.531,1.803,1.408,3.269,1.66,1.043,1.602,0.5,Fraud
PC Jeweller,India,Jewellery,1.429,1.399,1.225,2.432,0.887,1.166,1.424,0.3573,Fraud
NMB Bank Tanzania,Tanzania,Banking,0.832,0.676,0.7,0.563,1.125,1.1,0.864,-0.0003,Legit
Qiagen NV,Netherlands,Life Sciences,0.469,0.599,1.628,1.361,1.144,0.692,0.897,-0.2,Legit
Deutsche Telekom,Germany,Telecommunications,1.263,0.43,1.362,1.152,0.991,1.089,1.598,0.1748,Legit
Novo Nordisk 2016,Denmark,Pharmaceuticals,1.716,0.948,1.249,1.096,0.851,1.095,1.211,-0.0212,Legit
Monitronics 2017,USA,Security Services,1.647,0.911,1.737,1.478,0.983,1.059,0.779,0.0471,Fraud
Penn West 2014,Canada,Oil & Gas,1.588,1.153,1.947,1.662,1.856,1.106,1.381,-0.0899,Fraud
New Oriental issue,China,Education,1.967,1.061,1.401,1.62,1.643,1.23,1.207,-0.0611,Fraud
Lucent Technologies,USA,Telecommunications,1.796,1.408,1.205,1.488,0.966,1.106,1.554,0.5,Fraud
Quindell,UK,Insurance Tech,1.934,1.897,1.381,1.773,1.124,0.796,1.996,0.2497,Fraud
Hascol 2016,Pakistan,Oil & Gas,1.598,1.226,1.601,1.985,1.013,0.811,1.48,-0.1211,Fraud
HeidelbergCement,Germany,Construction,0.948,1.59,1.217,1.374,1.081,1.201,1.134,-0.0068,Legit
Access Bank,Nigeria,Banking,0.932,1.395,1.185,0.827,1.136,1.252,1.166,0.1599,Legit
Saudi Basic Industries,Saudi Arabia,Chemicals,0.652,0.965,1.304,1.185,0.816,1.05,0.755,0.0213,Legit
Apple 2015,USA,Consumer Electronics,1.332,1.358,0.965,1.129,1.211,0.581,0.711,-0.1196,Legit
Microsoft 2017,USA,Software,0.76,0.358,1.459,1.004,1.012,1.06,1.032,-0.1777,Legit
Hascol 2017,Pakistan,Oil & Gas,1.634,1.48,1.161,2.521,1.347,0.851,0.863,0.2618,Fraud
Alimentation Couche,Canada,Retail,0.802,0.591,1.684,0.707,0.826,0.484,0.689,-0.0626,Legit
Nikola Corporation,USA,Electric Vehicles,2.453,1.292,1.423,3.302,1.115,0.992,0.862,0.2657,Fraud
CrowdStrike,USA,Cybersecurity,1.461,1.069,1.182,1.08,1.112,0.774,0.565,0.2122,Legit
Oando scandal,Nigeria,Oil & Gas,1.689,1.173,1.48,1.907,1.342,1.091,1.105,0.178,Fraud
Brainsway,Israel,Medical Devices,1.935,1.674,1.528,2.04,1.362,0.958,1.642,0.3138,Fraud
Grab Holdings,Singapore,Technology,1.552,0.898,1.63,1.95,1.185,0.517,1.915,0.0735,Fraud
NN Group,Netherlands,Insurance,0.379,0.873,0.685,1.324,1.087,1.024,1.218,-0.2,Legit
Generali Group,Italy,Insurance,0.863,1.231,0.939,0.847,0.737,0.955,1.415,-0.2,Legit
Enron Corporation,USA,Energy,1.675,1.283,1.237,1.735,1.097,1.423,1.796,-0.0334,Fraud
Resonant Inc,USA,Semiconductors,1.471,1.503,1.425,1.168,1.341,0.989,1.109,0.2009,Fraud
ABB fraud,Switzerland,Industrial,0.848,0.96,2.141,2.43,1.271,1.322,1.768,0.5,Fraud
Fazal Cloth Mills,Pakistan,Textiles,1.433,0.693,2.03,1.73,1.247,1.006,1.132,0.3287,Fraud
Engro Corp 2018,Pakistan,Conglomerate,1.293,0.837,1.23,0.894,1.277,1.007,1.003,0.1322,Legit
Go First Airlines,India,Aviation,1.693,2.031,1.864,1.692,0.843,1.483,1.453,0.3562,Fraud
LAN Airlines,Chile,Aviation,1.543,0.849,1.626,1.667,1.165,0.74,0.3,-0.1016,Legit
CGI Group,Canada,IT Services,0.587,0.712,0.924,0.904,0.957,0.72,0.933,-0.2,Legit
Okta Inc,USA,Software,1.041,0.869,1.079,1.151,0.559,0.67,0.3,0.0967,Legit
Alibaba Group,China,E-commerce,1.398,1.09,1.568,1.611,1.44,0.806,1.378,-0.2,Legit
Hologic Inc,USA,Medical Devices,0.768,0.933,1.273,0.582,0.927,0.612,0.887,0.2064,Legit
Systems Ltd 2019,Pakistan,IT Services,0.736,1.535,0.705,1.862,1.842,1.439,0.465,0.2377,Legit
Nestle 2015,Switzerland,Food & Beverages,0.639,0.607,1.632,0.861,1.451,1.097,1.564,-0.2,Legit
Altico Capital,India,Financial Services,1.991,1.757,1.657,2.456,2.179,0.841,0.935,0.1101,Fraud
Lordstown Motors,USA,Electric Vehicles,1.843,1.591,1.309,3.076,1.278,0.689,1.464,-0.0035,Fraud
Petrobras,Brazil,Oil & Gas,1.791,1.221,1.417,0.988,0.995,0.745,1.918,0.5,Fraud
Apple 2019,USA,Consumer Electronics,0.683,1.213,0.613,1.749,0.64,0.361,0.686,0.0836,Legit
HealthSouth Corporation,USA,Healthcare,1.522,1.561,1.539,1.191,0.962,1.04,1.417,-0.2,Fraud
Macter International,Pakistan,Pharmaceuticals,1.775,1.335,1.31,2.0,1.283,1.531,1.561,-0.1074,Fraud
Spicejet issues,India,Aviation,1.49,1.209,1.959,2.11,1.521,1.059,1.266,0.4218,Fraud
ChinaNet Online,China,Media,1.394,0.922,1.867,1.865,1.738,1.743,1.619,0.2366,Fraud
Parmalat 2000,Italy,Food & Beverages,2.281,1.214,1.808,2.173,0.927,1.177,0.938,-0.2,Fraud
Genting Malaysia,Malaysia,Hospitality,1.516,1.62,1.424,1.12,1.074,1.201,1.573,-0.2,Fraud
Nestle 2018,Switzerland,Food & Beverages,0.893,0.793,0.791,0.621,1.008,1.063,1.311,-0.0627,Legit
Rio Tinto,UK,Mining,1.403,1.416,1.035,1.544,0.752,1.466,0.923,-0.2,Legit
Norwegian Air issue,Norway,Aviation,1.399,1.41,1.755,2.173,1.038,0.619,1.532,0.457,Fraud
Engro Corp 2019,Pakistan,Conglomerate,1.283,1.288,0.957,1.258,1.2,1.343,0.661,0.2872,Legit
Toyota 2016,Japan,Automotive,0.4,0.3,0.932,0.759,1.244,1.324,0.851,0.1913,Legit
NETGEAR Inc,USA,Networking,0.816,1.421,1.314,1.388,0.971,0.846,1.404,-0.0515,Legit
Xpeng Inc issue,China,Electric Vehicles,1.907,1.636,1.407,1.746,1.095,0.3,1.485,0.4386,Fraud
Nestle Pakistan,Pakistan,Food & Beverages,1.143,1.078,1.069,1.034,1.227,1.197,1.273,-0.2,Legit
Amazon 2020,USA,E-commerce,1.439,0.3,0.748,1.545,1.4,1.148,1.121,0.3326,Legit
Fairfax Financial,Canada,Insurance,1.192,0.835,0.994,0.964,0.9,0.677,0.674,0.2307,Legit
Alignment Healthcare,USA,Healthcare Insurance,1.363,1.097,1.169,1.247,0.933,0.647,0.813,-0.1445,Legit
Satyam Computer Services,India,IT Services,1.593,1.67,2.121,1.638,1.473,1.047,1.358,0.2662,Fraud
T Rowe Price,USA,Financial Services,0.833,1.116,1.126,0.462,1.241,1.382,0.939,0.5,Legit
Evergrande 2020,China,Real Estate,2.192,0.916,2.014,1.624,1.148,1.264,1.221,-0.0291,Fraud
Lucky Cement 2017,Pakistan,Construction,0.3,0.3,0.741,0.58,1.067,1.585,1.295,-0.1956,Legit
C&J Energy Services,USA,Oil Services,1.436,1.208,1.299,2.116,1.333,0.745,1.521,-0.0213,Fraud
Unilever,UK,Consumer Goods,1.015,1.252,1.072,1.193,0.3,0.769,0.722,-0.2,Legit
BAWAG PSK,Austria,Banking,1.331,1.371,2.081,1.471,1.296,1.033,2.025,0.4022,Fraud
KASB Bank 2012,Pakistan,Banking,1.525,1.303,2.038,1.953,0.964,1.054,1.387,0.1851,Fraud
Visa Inc,USA,Financial Services,0.446,0.722,1.008,0.962,1.282,1.352,0.492,0.4569,Legit
Inditex,Spain,Retail,1.334,1.367,1.082,0.774,1.235,1.035,0.502,0.2803,Legit
SMA Solar issue,Germany,Renewable Energy,1.797,1.466,0.789,2.428,1.164,1.091,1.21,-0.1685,Fraud
Chr Hansen,Denmark,Biotechnology,0.848,0.77,1.152,1.028,0.372,1.229,0.973,-0.1183,Legit
Waste Management,USA,Waste Services,1.315,1.027,1.192,0.919,0.973,0.879,1.221,0.1838,Fraud
Toshiba 2013,Japan,Electronics,1.775,0.862,2.147,2.075,0.738,1.238,1.19,0.5,Fraud
Smurfit Kappa,Ireland,Packaging,0.627,1.183,0.763,0.981,0.598,0.833,0.44,0.0851,Legit
Qwest Communications,USA,Telecommunications,2.041,1.472,1.707,1.867,1.274,1.338,1.676,0.5,Fraud
Lehman 2006,USA,Financial Services,1.768,1.515,0.779,1.762,0.628,1.131,0.758,0.359,Fraud
Citigroup,USA,Banking,0.94,1.155,0.695,0.599,1.019,0.432,1.852,0.1971,Legit
Canon Inc,Japan,Electronics,1.13,1.156,0.392,1.346,0.679,0.716,0.827,-0.0022,Legit
OraSure Technologies,USA,Medical Devices,1.258,0.821,1.351,1.387,0.662,1.097,0.72,-0.1853,Legit
Infineon Technologies,Germany,Semiconductors,1.233,0.739,1.321,0.603,0.674,0.455,1.03,0.4643,Legit
Saradha 2013,India,Financial Services,1.311,1.49,1.925,2.03,1.167,1.023,1.225,0.3051,Fraud
Sun Pharmaceutical,India,Pharmaceuticals,1.562,0.861,1.096,0.475,1.228,0.642,1.024,0.2563,Legit
Mastercard,USA,Financial Services,1.679,0.775,0.939,1.885,1.522,0.939,1.24,0.2648,Legit
Markel Corporation,USA,Insurance,0.64,1.291,0.551,0.865,0.527,1.216,0.729,-0.2,Legit
Mitsubishi Chemical,Japan,Chemicals,0.516,0.816,1.106,0.752,1.055,0.895,0.814,0.0787,Legit
Lockheed Martin,USA,Aerospace,1.244,1.043,0.363,1.004,1.36,1.003,1.05,-0.2,Legit
Microsoft 2018,USA,Software,1.017,0.456,1.278,1.08,1.186,1.461,0.872,-0.2,Legit
Comverse Technology,USA,Telecommunications,0.747,0.79,1.041,0.98,1.352,1.242,1.201,0.0956,Legit
Graft-Tech International,USA,Materials,1.657,1.685,1.951,1.539,1.153,1.358,1.331,-0.1062,Fraud
Pingduoduo issue,China,E-commerce,1.494,0.98,1.638,1.77,0.71,1.029,1.518,-0.073,Fraud
Volkswagen Group,Germany,Automotive,1.336,0.903,1.375,1.028,1.227,1.145,1.493,-0.0038,Legit
Church & Dwight,USA,Consumer Goods,0.3,0.86,0.76,1.172,0.514,0.858,1.571,0.322,Legit
BASF SE,Germany,Chemicals,1.423,1.315,1.068,1.27,0.997,1.285,0.616,-0.2,Legit
MongoDB,USA,Software,1.058,1.22,1.007,1.348,1.217,0.435,0.953,0.1744,Legit
CPI Aerostructures,USA,Aerospace,1.452,1.488,0.913,1.849,1.212,1.078,1.14,0.3739,Fraud
Nidec Corporation,Japan,Industrial,1.158,0.79,0.799,1.475,0.905,0.941,1.388,-0.0771,Legit
ITC Limited,India,Conglomerate,1.072,0.768,1.075,1.56,0.767,0.808,0.987,0.3479,Legit
Raytheon Technologies,USA,Defense,1.486,1.655,1.02,1.298,1.23,0.936,1.565,-0.2,Legit
JPMorgan 2015,USA,Banking,0.931,0.583,1.192,1.668,1.02,1.589,1.032,0.0215,Legit
Enron 1998,USA,Energy,2.238,1.248,1.505,1.341,1.209,1.084,0.798,0.2614,Fraud
Winbond Electronics issue,Taiwan,Semiconductors,1.889,1.793,1.514,2.62,1.348,1.096,1.308,0.0455,Fraud
Xenon Pharma,Canada,Pharmaceuticals,1.061,0.689,1.098,1.382,0.65,0.466,0.873,0.0269,Legit
Sunac China,China,Real Estate,1.58,1.722,2.022,1.866,1.443,0.815,1.231,0.084,Fraud
JBS irregularities,Brazil,Food & Beverages,1.941,0.937,2.161,2.741,1.446,1.175,1.38,0.1633,Fraud
Flixbus issues,Germany,Transportation,1.177,1.202,1.427,1.848,1.139,1.098,1.174,0.2611,Fraud
Walmart Inc,USA,Retail,0.404,0.558,0.914,1.541,1.32,0.978,1.012,-0.2,Legit
Frequentis,Austria,Technology,1.236,1.322,1.907,2.629,1.112,1.004,1.234,0.3341,Fraud
Abraaj Group,UAE,Private Equity,1.389,1.371,1.209,2.24,0.895,0.952,0.759,0.0029,Fraud
GitLab Inc,USA,Software,1.134,1.674,0.99,1.272,1.234,1.309,1.153,0.1447,Legit
Ribbon Communications,USA,Networking,0.548,0.399,0.657,1.315,1.743,1.394,0.915,0.4678,Legit
Nestle 2020,Switzerland,Food & Beverages,1.161,0.578,0.675,2.561,1.217,1.205,1.113,-0.2,Legit
Toshiba Corporation,Japan,Electronics,1.159,1.253,1.583,1.387,1.634,1.246,1.317,-0.148,Fraud
BlockFi fraud,USA,Cryptocurrency,1.751,1.228,1.257,2.416,0.986,0.748,1.267,-0.1353,Fraud
OGDC 2017,Pakistan,Oil & Gas,1.051,0.64,0.967,1.158,1.062,1.222,1.339,0.5,Legit
WalkMe Ltd,Israel,Software,0.757,0.862,1.013,1.494,0.724,0.3,1.295,0.0343,Legit
Microsoft 2016,USA,Software,0.495,1.705,1.149,1.639,1.818,0.934,0.469,-0.2,Legit
Linde PLC,UK/Germany,Chemicals,0.958,0.487,0.682,1.395,1.297,0.767,1.085,-0.2,Legit
Greensill 2020,UK,Financial Services,1.443,1.527,1.984,1.781,1.086,1.322,0.682,-0.2,Fraud
GSX Techedu,China,Education,1.847,1.647,2.097,1.66,1.084,0.923,0.827,0.1932,Fraud
Banco Santander,Spain,Banking,1.257,0.706,0.778,0.67,1.263,1.476,1.558,0.1965,Legit
Apple 2018,USA,Consumer Electronics,0.601,0.329,0.638,0.631,0.812,0.588,1.068,-0.0598,Legit
HBL Pakistan 2017,Pakistan,Banking,0.851,0.764,0.933,1.01,1.184,1.03,1.411,0.5,Legit
Suncor Energy,Canada,Oil & Gas,1.28,0.72,1.137,0.716,0.694,1.027,1.1,0.1343,Legit
PPG Industries,USA,Chemicals,1.448,0.94,0.917,0.682,1.351,0.314,1.602,-0.2,Legit
Wirecard 2018,Germany,Fintech,1.807,0.761,1.211,2.331,1.377,0.919,1.247,0.4248,Fraud
Compass Group,UK,Food Services,0.881,0.848,1.229,1.971,0.819,1.6,1.411,0.4231,Legit
Ceridian HCM fraud,USA,Software,1.652,1.317,1.543,2.089,1.202,1.257,1.44,-0.1419,Fraud
MediaTek,Taiwan,Semiconductors,1.024,0.982,1.283,1.914,0.889,0.731,1.561,-0.2,Legit
Wolters Kluwer,Netherlands,Software,1.498,0.996,1.368,0.784,1.374,0.816,0.964,0.4592,Legit
Unitech Ltd,India,Real Estate,1.6,0.683,1.157,1.906,1.406,0.436,0.881,0.3621,Fraud
ExxonMobil,USA,Oil & Gas,0.7,0.581,0.961,1.114,0.756,0.971,0.979,0.0633,Legit
Medialink Broadband,Taiwan,Telecommunications,0.644,1.528,1.641,2.212,1.377,1.495,1.164,-0.1536,Fraud
BMW Group,Germany,Automotive,0.813,0.654,1.329,1.536,0.54,0.887,1.143,0.1009,Legit
HDFC Bank,India,Banking,1.533,1.298,0.733,1.16,1.273,1.208,1.144,-0.2,Legit
Huobi Global,Seychelles,Cryptocurrency,1.705,1.173,1.395,1.857,1.897,1.067,1.627,0.4081,Fraud
Fauji Foods,Pakistan,Food & Beverages,0.997,0.832,1.031,1.14,1.117,1.232,1.15,-0.2,Legit
Oscar Health,USA,Healthcare Insurance,1.013,1.499,1.32,0.8,0.86,0.359,1.305,0.0639,Legit
Ambu AS,Denmark,Medical Devices,1.429,0.802,1.697,1.418,1.454,0.959,1.503,0.1418,Legit
Arrival Group,UK,Electric Vehicles,1.834,1.539,1.951,1.818,1.012,0.832,1.06,0.5,Fraud
Privia Health,USA,Healthcare,1.252,0.586,1.225,0.971,1.294,0.968,1.142,-0.1512,Legit
PT Hanson 2018,Indonesia,Real Estate,1.694,1.665,1.765,1.997,1.351,1.265,1.492,-0.0423,Fraud
Henkel AG,Germany,Consumer Goods,0.67,0.967,1.073,1.594,1.499,1.339,0.649,0.0509,Legit
MiMedx Group,USA,Healthcare,1.831,1.523,0.874,1.823,1.225,0.688,1.01,0.5,Fraud
BNP Paribas,France,Banking,1.222,0.456,1.207,1.004,1.346,0.998,1.254,0.0918,Legit
Salesforce,USA,Software,1.348,0.526,1.274,1.151,0.974,0.503,1.542,-0.1324,Legit
Beiersdorf AG,Germany,Consumer Goods,0.666,1.435,0.474,1.286,1.102,0.775,0.739,0.2438,Legit
Equity Funding Corp,USA,Insurance,2.069,1.133,1.888,1.92,1.673,1.464,1.774,-0.0043,Fraud
Fortescue Metals,Australia,Mining,0.974,1.249,0.7,0.926,0.916,0.86,0.775,-0.0418,Legit
CVS Health,USA,Healthcare,0.865,0.529,0.3,0.932,1.016,1.236,1.396,0.4984,Legit
Schneider Electric,France,Industrial,0.846,0.897,1.253,1.111,1.175,0.632,0.992,0.3055,Legit
Eastman Chemical,USA,Chemicals,0.902,1.135,0.806,1.462,1.271,1.089,0.991,0.3619,Legit
Gran Tierra Energy,Canada,Oil & Gas,1.383,1.311,1.57,2.336,1.615,1.472,0.797,-0.2,Fraud
Samsung 2020,South Korea,Electronics,1.054,1.114,1.304,2.298,0.761,1.178,0.699,-0.0797,Legit
Root Insurance,USA,Insurance,1.011,0.781,1.557,1.183,1.633,1.542,0.865,0.2451,Legit
Americanas SA,Brazil,Retail,2.26,1.574,1.358,1.527,0.741,1.139,1.822,0.1519,Fraud
Samsung 2018,South Korea,Electronics,0.993,0.507,1.15,0.84,1.476,1.237,1.229,0.2332,Legit
Cemex,Mexico,Construction,0.635,0.721,1.858,0.668,0.604,0.962,0.996,-0.1108,Legit
Keyuan 2011,China,Chemicals,1.63,1.226,1.73,1.62,0.867,0.982,0.979,0.118,Fraud
BCE Inc,Canada,Telecommunications,1.227,0.691,1.026,1.455,1.653,1.671,0.948,-0.2,Legit
Rocket Internet,Germany,Technology,1.616,1.92,1.96,1.743,0.932,0.767,1.285,0.3377,Fraud
ChinaCache Intl,China,Technology,1.786,1.525,1.683,1.611,1.026,1.431,1.396,-0.2,Fraud
KASB Bank,Pakistan,Banking,1.019,1.09,1.068,1.382,0.484,1.125,2.3,0.0364,Fraud
Lowe's Companies,USA,Retail,1.563,0.987,0.845,1.462,0.947,0.679,1.639,-0.2,Legit
KONE Corporation,Finland,Industrial,1.222,0.419,0.589,1.319,0.97,1.007,0.93,-0.2,Legit
Adelphia 2002,USA,Telecommunications,1.651,1.249,1.853,1.966,1.723,1.486,1.139,0.3917,Fraud
Samsung 2015,South Korea,Electronics,1.041,1.153,0.953,1.387,1.139,1.465,0.638,0.4044,Legit
Adelphia Communications,USA,Telecommunications,1.601,1.459,1.545,1.327,0.986,1.147,1.886,0.0206,Fraud
Theranos,USA,Healthcare Tech,2.069,1.682,1.716,2.609,1.147,1.553,0.9,0.3414,Fraud
Novo Nordisk 2020,Denmark,Pharmaceuticals,0.707,0.705,1.556,1.319,0.901,1.23,1.07,0.0137,Legit
Amazon 2016,USA,E-commerce,0.734,0.635,0.422,1.672,1.226,1.538,1.072,0.4789,Legit
Wilson Therapeutics,Sweden,Pharmaceuticals,2.044,1.395,1.271,1.64,1.438,1.174,1.332,0.3095,Fraud
Honda Motor,Japan,Automotive,1.497,0.551,0.3,1.643,0.865,1.386,0.557,-0.1822,Legit
Genmab AS,Denmark,Biotechnology,1.321,1.203,0.749,1.458,1.017,1.243,1.173,-0.2,Legit
Regeneron Pharma,USA,Biotechnology,1.422,0.762,1.055,1.203,1.39,0.516,0.533,0.1311,Legit
JPMorgan Chase,USA,Banking,1.139,1.218,0.554,0.612,1.013,1.292,1.443,-0.2,Legit
Vijay Mallya,India,Aviation,1.956,1.391,2.105,1.809,1.434,1.297,1.121,-0.0654,Fraud
Kering Group,France,Luxury Goods,1.309,0.997,0.84,1.487,1.19,0.868,1.462,0.3155,Legit
MiMedia Inc,USA,Technology,1.639,1.208,2.01,1.798,1.281,1.274,1.113,-0.0676,Fraud
Prokon fraud,Germany,Renewable Energy,1.15,1.836,1.488,1.293,1.543,0.575,1.181,0.4325,Fraud
CML Healthcare,Canada,Healthcare,1.274,1.062,0.669,1.195,1.556,0.568,0.629,0.0313,Legit
Tesco 2014,UK,Retail,1.188,1.446,1.094,1.03,0.995,1.015,1.495,-0.2,Fraud
GlaxoSmithKline,UK,Pharmaceuticals,2.539,0.785,0.771,0.969,1.251,1.182,0.3,-0.2,Legit
Afiniti fraud,UK,Technology,2.296,1.394,1.228,2.224,1.338,1.49,1.143,0.1402,Fraud
Home Depot,USA,Retail,1.181,0.598,1.483,1.428,0.629,0.912,0.727,0.5,Legit
Toshiba 2014,Japan,Electronics,2.249,1.739,1.638,2.016,1.253,1.506,1.586,0.5,Fraud
Hub Power Company,Pakistan,Utilities,1.313,1.3,1.533,1.042,0.799,1.01,1.496,-0.2,Legit
BT Group 2016,UK,Telecommunications,1.856,1.084,1.313,2.028,1.502,0.525,1.782,-0.1583,Fraud
Recursion Pharma,USA,Biotechnology,0.6,0.348,1.634,1.365,1.518,0.586,0.795,-0.0059,Legit
